country_code,flag
ARE,https://flagcdn.com/w80/ae.png
AUS,https://flagcdn.com/w80/au.png
AUT,https://flagcdn.com/w80/at.png
BEL,https://flagcdn.com/w80/be.png
BGR,https://flagcdn.com/w80/bg.png
BRA,https://flagcdn.com/w80/br.png
CAN,https://flagcdn.com/w80/ca.png
CHE,https://flagcdn.com/w80/ch.png
CHL,https://flagcdn.com/w80/cl.png
CHN,https://flagcdn.com/w80/cn.png
CZE,https://flagcdn.com/w80/cz.png
DEU,https://flagcdn.com/w80/de.png
DNK,https://flagcdn.com/w80/dk.png
ESP,https://flagcdn.com/w80/es.png
EST,https://flagcdn.com/w80/ee.png
FIN,https://flagcdn.com/w80/fi.png
FRA,https://flagcdn.com/w80/fr.png
GBR,https://flagcdn.com/w80/gb.png
GRC,https://flagcdn.com/w80/gr.png
HRV,https://flagcdn.com/w80/hr.png
HUN,https://flagcdn.com/w80/hu.png
IDN,https://flagcdn.com/w80/id.png
IND,https://flagcdn.com/w80/in.png
IRL,https://flagcdn.com/w80/ie.png
ISL,https://flagcdn.com/w80/is.png
ITA,https://flagcdn.com/w80/it.png
JPN,https://flagcdn.com/w80/jp.png
KOR,https://flagcdn.com/w80/kr.png
LTU,https://flagcdn.com/w80/lt.png
LUX,https://flagcdn.com/w80/lu.png
LVA,https://flagcdn.com/w80/lv.png
MY,https://flagcdn.com/w80/my.png
NLD,https://flagcdn.com/w80/nl.png
NOR,https://flagcdn.com/w80/no.png
POL,https://flagcdn.com/w80/pl.png
PRT,https://flagcdn.com/w80/pt.png
ROU,https://flagcdn.com/w80/ro.png
RUS,https://flagcdn.com/w80/ru.png
SGP,https://flagcdn.com/w80/sg.png
SVK,https://flagcdn.com/w80/sk.png
SVN,https://flagcdn.com/w80/si.png
SWE,https://flagcdn.com/w80/se.png
TH,https://flagcdn.com/w80/th.png
TUR,https://flagcdn.com/w80/tr.png
UKR,https://flagcdn.com/w80/ua.png
USA,https://flagcdn.com/w80/us.png
VNM,https://flagcdn.com/w80/vn.png
